"workclass";"education";"marital_status";"occupation";"race";"gender";"full_or_part_emp";"capital_gains";"capital_losses";"state_prev_res";"fam_under_18";"country_self";"income_50k";"age";"relationship"
"private";"11th grade";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";34;"wife"
"local government";"bachelors degree(ba ab bs)";"divorced";"professional specialty";"black";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";62;"husband"
"state government";"high school graduate";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";51;"husband"
"private";"some college but no degree";"never married";"professional specialty";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";21;"own child"
"private";"high school graduate";"never married";"sales";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";22;"own child"
"private";"some college but no degree";"married civilian spouse present";"transportation and material moving";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";31;"husband"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";44;"wife"
"private";"7th and 8th grade";"married civilian spouse present";"other service";"white";"female";"unemployed full time";0;0;"nonmover";"adult";"united states";"<=50k";34;"husband"
"private";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";28;"wife"
"private";"10th grade";"divorced";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";56;"husband"
"private";"some college but no degree";"married civilian spouse present";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";38;"husband"
"private";"9th grade";"never married";"other service";"white";"male";"children or armed forces";0;0;"nonmover";"both parents present";"united states";"<=50k";16;"own child"
"private";"bachelors degree(ba ab bs)";"never married";"sales";"white";"female";"children or armed forces";0;0;"montana";"adult";"united states";"<=50k";24;"husband"
"private";"11th grade";"never married";"professional specialty";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";18;"own child"
"private";"masters degree(ma ms meng med msw mba)";"divorced";"executive admin and managerial";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";">50k";43;"husband"
"federal government";"bachelors degree(ba ab bs)";"divorced";"executive admin and managerial";"white";"female";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";61;"husband"
"private";"bachelors degree(ba ab bs)";"divorced";"executive admin and managerial";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";36;"husband"
"private";"high school graduate";"divorced";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";31;"husband"
"private";"7th and 8th grade";"married civilian spouse present";"precision production craft & repair";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";23;"wife"
"private";"high school graduate";"separated";"precision production craft & repair";"black";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";52;"own child"
"private";"high school graduate";"married civilian spouse present";"sales";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";72;"husband"
"private";"masters degree(ma ms meng med msw mba)";"divorced";"other service";"black";"female";"children or armed forces";0;0;"missouri";"adult";"united states";"<=50k";41;"husband"
"state government";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";42;"wife"
"self employed not incorporated";"some college but no degree";"married a f spouse present";"other service";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";24;"wife"
"private";"some college but no degree";"never married";"technicians and related support";"white";"male";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";28;"own child"
"private";"high school graduate";"never married";"transportation and material moving";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";20;"other relative"
"private";"bachelors degree(ba ab bs)";"never married";"transportation and material moving";"white";"male";"unemployed full time";0;0;"nonmover";"adult";"united states";"<=50k";41;"own child"
"self employed not incorporated";"9th grade";"married civilian spouse present";"precision production craft & repair";"amer indian aleut or eskimo";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";35;"husband"
"private";"bachelors degree(ba ab bs)";"divorced";"professional specialty";"white";"female";"children or armed forces";0;0;"california";"adult";"united states";"<=50k";27;"own child"
"private";"associates degree occup /vocational";"divorced";"executive admin and managerial";"amer indian aleut or eskimo";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";44;"husband"
"federal government";"high school graduate";"never married";"adm support including clerical";"black";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";36;"husband"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"france";"<=50k";41;"wife"
"private";"some college but no degree";"married civilian spouse present";"adm support including clerical";"other";"female";"children or armed forces";0;0;"nonmover";"adult";"mexico";"<=50k";44;"husband"
"state government";"high school graduate";"married civilian spouse present";"technicians and related support";"white";"male";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";50;"husband"
"private";"associates degree occup /vocational";"married civilian spouse present";"precision production craft & repair";"white";"female";"unemployed part  time";0;0;"nonmover";"adult";"united states";"<=50k";39;"wife"
"self employed not incorporated";"bachelors degree(ba ab bs)";"married civilian spouse present";"farming forestry and fishing";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"germany";"<=50k";29;"wife"
"private";"some college but no degree";"married civilian spouse present";"technicians and related support";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";43;"wife"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";54;"wife"
"private";"bachelors degree(ba ab bs)";"never married";"executive admin and managerial";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";25;"own child"
"private";"some college but no degree";"separated";"executive admin and managerial";"amer indian aleut or eskimo";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";53;"husband"
"private";"bachelors degree(ba ab bs)";"divorced";"executive admin and managerial";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";">50k";60;"husband"
"private";"associates degree occup /vocational";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";36;"wife"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";41;"wife"
"private";"some college but no degree";"married civilian spouse present";"transportation and material moving";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";38;"husband"
"private";"bachelors degree(ba ab bs)";"never married";"sales";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";31;"own child"
"local government";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"professional specialty";"white";"male";"children or armed forces";7688;0;"nonmover";"adult";"united states";"<=50k";50;"husband"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"new mexico";"adult";"united states";"<=50k";38;"wife"
"private";"some college but no degree";"married civilian spouse present";"transportation and material moving";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";25;"husband"
"private";"high school graduate";"married a f spouse present";"other service";"black";"female";"children or armed forces";0;0;"iowa";"adult";"united states";"<=50k";23;"wife"
"private";"high school graduate";"married civilian spouse present";"executive admin and managerial";"white";"male";"full time schedules";0;1485;"nonmover";"adult";"united states";"<=50k";39;"husband"
"self employed not incorporated";"bachelors degree(ba ab bs)";"never married";"sales";"white";"male";"children or armed forces";14084;0;"michigan";"adult";"united states";">50k";45;"husband"
"private";"associates degree academic program";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";43;"wife"
"private";"bachelors degree(ba ab bs)";"never married";"executive admin and managerial";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";35;"husband"
"private";"high school graduate";"married civilian spouse present";"machine operators assmblrs & inspctrs";"black";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";52;"wife"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";63;"husband"
"private";"some college but no degree";"married civilian spouse present";"handlers equip cleaners etc";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";41;"wife"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"male";"full time schedules";0;1672;"nonmover";"adult";"united states";"<=50k";51;"husband"
"local government";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"asian or pacific islander";"female";"full time schedules";0;0;"nonmover";"adult";"philippines";">50k";37;"wife"
"self employed incorporated";"some college but no degree";"married civilian spouse present";"transportation and material moving";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";54;"husband"
"local government";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";43;"wife"
"private";"11th grade";"never married";"handlers equip cleaners etc";"white";"male";"children or armed forces";0;0;"south carolina";"both parents present";"united states";"<=50k";17;"own child"
"private";"high school graduate";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"mexico";"<=50k";28;"husband"
"private";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"professional specialty";"white";"male";"children or armed forces";7688;0;"nonmover";"adult";"united states";">50k";46;"husband"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";46;"wife"
"private";"high school graduate";"never married";"other service";"white";"female";"children or armed forces";0;1762;"nebraska";"adult";"united states";"<=50k";24;"husband"
"private";"high school graduate";"never married";"handlers equip cleaners etc";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";45;"unmarried"
"local government";"high school graduate";"married civilian spouse present";"protective services";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";23;"husband"
"private";"some college but no degree";"separated";"adm support including clerical";"white";"male";"full time schedules";3674;0;"nonmover";"adult";"united states";"<=50k";37;"husband"
"state government";"some college but no degree";"never married";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";40;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";36;"husband"
"private";"some college but no degree";"married civilian spouse present";"technicians and related support";"white";"male";"children or armed forces";0;0;"utah";"adult";"united states";"<=50k";22;"husband"
"private";"masters degree(ma ms meng med msw mba)";"never married";"professional specialty";"white";"female";"children or armed forces";0;1590;"nonmover";"adult";"united states";"<=50k";53;"unmarried"
"private";"11th grade";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";59;"husband"
"private";"9th grade";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"male";"full time schedules";3103;0;"nonmover";"adult";"united states";"<=50k";42;"husband"
"local government";"some college but no degree";"divorced";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";35;"husband"
"private";"some college but no degree";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";48;"husband"
"private";"some college but no degree";"separated";"technicians and related support";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";46;"husband"
"private";"7th and 8th grade";"never married";"machine operators assmblrs & inspctrs";"white";"male";"children or armed forces";0;0;"south carolina";"adult";"el salvador";"<=50k";28;"unmarried"
"self employed not incorporated";"some college but no degree";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";3908;0;"nonmover";"adult";"united states";"<=50k";35;"husband"
"self employed incorporated";"associates degree academic program";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";39;"wife"
"federal government";"some college but no degree";"widowed";"transportation and material moving";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";74;"husband"
"local government";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";36;"wife"
"private";"prof school degree (md dds dvm llb jd)";"married civilian spouse present";"professional specialty";"white";"female";"children or armed forces";0;0;"louisiana";"adult";"united states";"<=50k";27;"wife"
"private";"some college but no degree";"never married";"sales";"asian or pacific islander";"male";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";20;"own child"
"local government";"high school graduate";"divorced";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";57;"husband"
"self employed incorporated";"doctorate degree(phd edd)";"married civilian spouse present";"professional specialty";"white";"male";"full time schedules";0;1977;"nonmover";"adult";"united states";">50k";43;"husband"
"state government";"some college but no degree";"married civilian spouse present";"executive admin and managerial";"white";"male";"full time schedules";0;1887;"nonmover";"adult";"united states";"<=50k";51;"husband"
"local government";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";30;"wife"
"private";"doctorate degree(phd edd)";"married civilian spouse present";"professional specialty";"white";"male";"children or armed forces";0;2415;"nonmover";"adult";"united states";">50k";59;"husband"
"private";"associates degree academic program";"never married";"machine operators assmblrs & inspctrs";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";34;"husband"
"local government";"some college but no degree";"married civilian spouse present";"professional specialty";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";38;"wife"
"private";"high school graduate";"never married";"other service";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";18;"own child"
"private";"10th grade";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";57;"husband"
"private";"some college but no degree";"never married";"sales";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";20;"own child"
"private";"some college but no degree";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";49;"wife"
"local government";"some college but no degree";"married civilian spouse present";"adm support including clerical";"amer indian aleut or eskimo";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";49;"husband"
"private";"associates degree academic program";"married civilian spouse present";"executive admin and managerial";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";31;"husband"
"private";"high school graduate";"married civilian spouse present";"protective services";"white";"male";"full time schedules";0;1628;"nonmover";"adult";"united states";"<=50k";47;"husband"
"self employed incorporated";"some college but no degree";"married civilian spouse present";"executive admin and managerial";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";31;"husband"
"private";"some college but no degree";"married civilian spouse present";"sales";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";56;"wife"
"private";"high school graduate";"married civilian spouse present";"sales";"white";"male";"unemployed full time";0;0;"nonmover";"adult";"united states";"<=50k";37;"husband"
"private";"some college but no degree";"never married";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";18;"own child"
"private";"bachelors degree(ba ab bs)";"never married";"technicians and related support";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";29;"unmarried"
"private";"some college but no degree";"never married";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";23;"own child"
"private";"high school graduate";"married civilian spouse present";"executive admin and managerial";"black";"male";"children or armed forces";7688;0;"nonmover";"adult";"united states";"<=50k";39;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"technicians and related support";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";36;"husband"
"local government";"doctorate degree(phd edd)";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;1258;"nonmover";"adult";"united states";"<=50k";72;"husband"
"private";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"executive admin and managerial";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";29;"unmarried"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"sales";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";">50k";52;"wife"
"state government";"high school graduate";"married civilian spouse present";"precision production craft & repair";"black";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";71;"husband"
"private";"high school graduate";"married civilian spouse present";"professional specialty";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";35;"wife"
"federal government";"bachelors degree(ba ab bs)";"married civilian spouse present";"adm support including clerical";"white";"male";"children or armed forces";0;0;"illinois";"adult";"united states";"<=50k";36;"husband"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"new mexico";"adult";"united states";"<=50k";23;"other relative"
"private";"bachelors degree(ba ab bs)";"never married";"sales";"black";"male";"children or armed forces";0;0;"minnesota";"adult";"united states";"<=50k";23;"husband"
"private";"some college but no degree";"divorced";"precision production craft & repair";"black";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";30;"unmarried"
"private";"some college but no degree";"divorced";"precision production craft & repair";"other";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";33;"other relative"
"private";"some college but no degree";"never married";"sales";"white";"female";"children or armed forces";0;1504;"nonmover";"adult";"united states";"<=50k";31;"husband"
"private";"12th grade";"never married";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";18;"own child"
"private";"high school graduate";"separated";"precision production craft & repair";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";54;"husband"
"private";"10th grade";"divorced";"sales";"white";"female";"children or armed forces";0;0;"florida";"adult";"united states";"<=50k";47;"husband"
"private";"7th and 8th grade";"divorced";"protective services";"black";"male";"full time schedules";0;1719;"nonmover";"adult";"united states";"<=50k";63;"husband"
"private";"high school graduate";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";35;"husband"
"private";"high school graduate";"married civilian spouse present";"sales";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";74;"wife"
"self employed not incorporated";"some college but no degree";"married civilian spouse present";"farming forestry and fishing";"asian or pacific islander";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";44;"husband"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"children or armed forces";3103;0;"nonmover";"adult";"united states";"<=50k";36;"husband"
"private";"high school graduate";"never married";"sales";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";42;"own child"
"private";"bachelors degree(ba ab bs)";"never married";"sales";"white";"male";"children or armed forces";0;0;"oregon";"adult";"united states";"<=50k";24;"unmarried"
"private";"some college but no degree";"married civilian spouse present";"precision production craft & repair";"white";"male";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";34;"husband"
"private";"some college but no degree";"never married";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";21;"husband"
"private";"some college but no degree";"divorced";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";37;"husband"
"private";"some college but no degree";"married civilian spouse present";"other service";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";28;"husband"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"executive admin and managerial";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";44;"wife"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"male";"full time schedules";0;0;"nonmover";"adult";"germany";">50k";42;"husband"
"local government";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"professional specialty";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";40;"wife"
"self employed incorporated";"bachelors degree(ba ab bs)";"never married";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";25;"own child"
"private";"some college but no degree";"divorced";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";21;"husband"
"self employed not incorporated";"some college but no degree";"married civilian spouse present";"farming forestry and fishing";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";66;"husband"
"self employed not incorporated";"associates degree academic program";"married civilian spouse present";"executive admin and managerial";"asian or pacific islander";"male";"children or armed forces";0;0;"nonmover";"adult";"japan";"<=50k";60;"husband"
"private";"some college but no degree";"married civilian spouse present";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";47;"husband"
"private";"12th grade";"never married";"handlers equip cleaners etc";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";23;"other relative"
"local government";"high school graduate";"married civilian spouse present";"professional specialty";"amer indian aleut or eskimo";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";24;"wife"
"private";"high school graduate";"never married";"adm support including clerical";"white";"female";"children or armed forces";2597;0;"nonmover";"adult";"united states";"<=50k";24;"unmarried"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"pt for econ reasons usually pt";0;0;"nonmover";"adult";"united states";"<=50k";29;"wife"
"private";"high school graduate";"never married";"sales";"white";"male";"unemployed full time";0;0;"nonmover";"adult";"puerto rico";"<=50k";26;"unmarried"
"private";"high school graduate";"never married";"machine operators assmblrs & inspctrs";"black";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";29;"husband"
"federal government";"associates degree occup /vocational";"divorced";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";43;"husband"
"private";"associates degree occup /vocational";"never married";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";24;"other relative"
"private";"11th grade";"married civilian spouse present";"other service";"black";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";30;"husband"
"self employed not incorporated";"some college but no degree";"married civilian spouse present";"sales";"white";"male";"children or armed forces";0;1740;"nonmover";"adult";"united states";"<=50k";33;"husband"
"state government";"associates degree academic program";"never married";"professional specialty";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";24;"own child"
"private";"10th grade";"never married";"other service";"white";"male";"full time schedules";0;0;"nonmover";"both parents present";"united states";"<=50k";16;"own child"
"private";"some college but no degree";"never married";"other service";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";21;"unmarried"
"state government";"some college but no degree";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"minnesota";"adult";"united states";"<=50k";24;"husband"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";26;"wife"
"private";"some college but no degree";"married civilian spouse present";"technicians and related support";"white";"male";"full time schedules";7688;0;"nonmover";"adult";"united states";"<=50k";33;"husband"
"private";"bachelors degree(ba ab bs)";"never married";"sales";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";29;"husband"
"private";"10th grade";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";7298;0;"nonmover";"adult";"united states";"<=50k";27;"husband"
"local government";"associates degree academic program";"married civilian spouse present";"transportation and material moving";"asian or pacific islander";"male";"full time schedules";0;0;"nonmover";"adult";"thailand";">50k";44;"husband"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"asian or pacific islander";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";48;"husband"
"private";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";59;"wife"
"private";"high school graduate";"never married";"sales";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";18;"own child"
"private";"high school graduate";"married civilian spouse present";"sales";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";42;"wife"
"private";"masters degree(ma ms meng med msw mba)";"never married";"executive admin and managerial";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";29;"husband"
"state government";"some college but no degree";"married civilian spouse present";"technicians and related support";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";42;"wife"
"private";"some college but no degree";"never married";"transportation and material moving";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";22;"husband"
"local government";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";37;"wife"
"private";"12th grade";"divorced";"executive admin and managerial";"white";"female";"full time schedules";4650;0;"nonmover";"adult";"united states";"<=50k";41;"husband"
"private";"high school graduate";"divorced";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";70;"husband"
"federal government";"high school graduate";"married civilian spouse present";"adm support including clerical";"black";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";28;"wife"
"private";"12th grade";"never married";"sales";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"dominican republic";"<=50k";18;"own child"
"private";"masters degree(ma ms meng med msw mba)";"divorced";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";48;"husband"
"private";"some college but no degree";"never married";"sales";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";21;"own child"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"male";"full time schedules";15024;0;"nonmover";"adult";"united states";">50k";39;"husband"
"without pay";"high school graduate";"never married";"farming forestry and fishing";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";27;"own child"
"self employed not incorporated";"10th grade";"never married";"machine operators assmblrs & inspctrs";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";20;"own child"
"private";"prof school degree (md dds dvm llb jd)";"never married";"technicians and related support";"asian or pacific islander";"male";"children or armed forces";0;1564;"nonmover";"adult";"india";">50k";34;"husband"
"private";"high school graduate";"never married";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";25;"husband"
"local government";"high school graduate";"married civilian spouse present";"protective services";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";47;"husband"
"private";"high school graduate";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"female";"full time schedules";0;0;"nonmover";"adult";"portugal";"<=50k";52;"wife"
"private";"some college but no degree";"married civilian spouse present";"adm support including clerical";"white";"male";"children or armed forces";0;0;"illinois";"adult";"united states";"<=50k";52;"husband"
"local government";"bachelors degree(ba ab bs)";"divorced";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";32;"husband"
"private";"9th grade";"married civilian spouse present";"sales";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";20;"husband"
"private";"associates degree academic program";"never married";"sales";"black";"male";"children or armed forces";10520;0;"nonmover";"adult";"united states";">50k";36;"husband"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";61;"wife"
